(www.infiniteskills.com, 1)
(www.globalknowledge.com, 1)
(www.infiniteskills.com, 2)
(console.amazon.com, 1)
(console.amazon.com, 2)
(www.quicloud.com, 1)
(hadoop.apache.org, 1)
(www.quicloud.com, 2)
(www.cloudera.com, 1)
(www.cloudera.com, 2)
(hadoop.apache.org, 2)
(www.cloudera.com, 3)
(console.amazon.com, 3)
(console.amazon.com, 4)
(console.amazon.com, 5)
(console.amazon.com, 6)
(www.infiniteskills.com, 3)
(hadoop.apache.org, 3)
(www.gigaom.com, 1)
(www.cloudera.com, 4)
(flume.apache.org, 1)
(hadoop.apache.org, 4)
(www.gigaom.com, 2)
(flume.apache.org, 2)
(hadoop.apache.org, 5)
(hadoop.apache.org, 6)
(flume.apache.org, 3)
(www.quicloud.com, 3)
(www.infiniteskills.com, 4)
(www.infiniteskills.com, 5)
(flume.apache.org, 4)
(flume.apache.org, 5)
(flume.apache.org, 6)
(www.cloudera.com, 5)
(www.quicloud.com, 4)
(www.infiniteskills.com, 6)
(www.infiniteskills.com, 7)
(www.quicloud.com, 5)
(www.gigaom.com, 3)
(flume.apache.org, 7)
(www.infiniteskills.com, 8)
(www.globalknowledge.com, 2)
(flume.apache.org, 8)
(www.quicloud.com, 6)
(www.quicloud.com, 7)
(www.infiniteskills.com, 9)
(www.infiniteskills.com, 10)
(www.globalknowledge.com, 3)
(www.cloudera.com, 6)
(console.amazon.com, 7)
(hadoop.apache.org, 7)
(flume.apache.org, 9)
(www.gigaom.com, 4)
(console.amazon.com, 8)
(www.infiniteskills.com, 11)
(hadoop.apache.org, 8)
(hadoop.apache.org, 9)
(console.amazon.com, 9)
(www.cloudera.com, 7)
(www.cloudera.com, 8)
(www.globalknowledge.com, 4)
(hadoop.apache.org, 10)
(www.quicloud.com, 8)
(www.cloudera.com, 9)
(flume.apache.org, 10)
(www.cloudera.com, 10)
(www.quicloud.com, 9)
(www.cloudera.com, 11)
(www.gigaom.com, 5)
(console.amazon.com, 10)
